ticker,window_start,window_end,split,label_binary,label_direction,image_path,r1,r2,r3,r4,r5
AAPL,2005-01-03,2005-03-30,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050330_train.png,-0.026756657287478447,-0.018895911052823067,0.0048792483285069466,0.019282352179288864,0.010448918677866459
AAPL,2005-01-06,2005-04-04,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050404_train.png,0.019282352179288864,0.010448918677866459,0.02864324301481247,0.004123717080801725,-0.04249997437000275
AAPL,2005-01-11,2005-04-07,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050407_train.png,0.004123717080801725,-0.04249997437000275,0.017498673871159554,-0.038714513182640076,-0.09662683308124542
AAPL,2005-01-14,2005-04-12,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050412_train.png,-0.038714513182640076,-0.09662683308124542,-0.05262197181582451,0.007608885411173105,0.040440112352371216
AAPL,2005-01-20,2005-04-15,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050415_train.png,0.007608885411173105,0.040440112352371216,-0.043533045798540115,0.04595663398504257,-0.046238284558057785
AAPL,2005-01-25,2005-04-20,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050420_train.png,0.04595663398504257,-0.046238284558057785,0.04084452986717224,-0.021594388410449028,-0.006653753574937582
AAPL,2005-01-28,2005-04-25,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050425_train.png,-0.021594388410449028,-0.006653753574937582,-0.01147026102989912,0.014525395818054676,0.010208393447101116
AAPL,2005-02-02,2005-04-28,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050428_train.png,0.014525395818054676,0.010208393447101116,-0.0060572875663638115,0.02562844753265381,-0.012732123956084251
AAPL,2005-02-07,2005-05-03,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050503_train.png,0.02562844753265381,-0.012732123956084251,0.015151805244386196,-0.007276679389178753,-0.014988698996603489
AAPL,2005-02-10,2005-05-06,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050506_train.png,-0.007276679389178753,-0.014988698996603489,-0.02249157801270485,-0.04244973510503769,0.0185781829059124
AAPL,2005-02-15,2005-05-11,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050511_train.png,-0.04244973510503769,0.0185781829059124,0.02218521013855934,-0.0053589181043207645,0.013483350165188313
AAPL,2005-02-18,2005-05-16,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050516_train.png,-0.0053589181043207645,0.013483350165188313,0.04660879075527191,0.0,0.0571880042552948
AAPL,2005-02-24,2005-05-19,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050519_train.png,0.0,0.0571880042552948,-0.0015101940371096134,0.002013085875660181,0.023846136406064034
AAPL,2005-03-01,2005-05-24,train,1,1,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050524_train.png,0.002013085875660181,0.023846136406064034,-0.00442805141210556,-0.0199382696300745,0.013507378287613392
AAPL,2005-03-04,2005-05-27,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050527_train.png,-0.0199382696300745,0.013507378287613392,-0.0064725144766271114,-0.04599686712026596,-0.008403411135077477
AAPL,2005-03-09,2005-06-02,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050602_train.png,-0.04599686712026596,-0.008403411135077477,-0.03707112744450569,0.010345859453082085,0.01957954466342926
AAPL,2005-03-14,2005-06-07,train,0,0,/home/pepegius/15.C51_project2_technicalanalysis/images/gaf/AAPL_20050607_train.png,0.010345859453082085,0.01957954466342926,-0.05010576918721199,0.002510111778974533,0.0027816432993859053
